issuenumber,title,issue_summary,resolution
727977,Initial Access issues with Negishi Cluster,User is experiencing issues accessing the eparkins group cluster on negishi.rcac.purdue.edu due to either missing permissions or an IAMO office issue.,"The user was informed that their permissions look appropriate but the support staff will investigate further. Additionally, it was suggested that the user tries creating an SSH key by following this link: https://www.rcac.purdue.edu/knowledge/negishi/accounts/login/sshkeys. If the issue persists, the IAMO office may have to clear a potential jam in the system again. The support staff will get back as soon as possible with more information."
250362,dune & platypus instructions,User seeks guidance on running a large Gromacs simulation using dune or platypus from the command line on an RCAC HPC cluster (Scholar) and retrieving output files for post-analysis.,"The user can run their Gromacs molecular dynamics simulation on any RCAC HPC cluster, such as Scholar. However, they should note that Scholar is not designed for education purposes, and accounts might be disabled if the user is not enrolled in a course or has not attended courses before May 2024. To run Gromacs on an RCAC cluster:
- Check available tutorials to learn how to run Gromacs (e.g., https://www.rcac.purdue.edu/tutorials/molecular-dynamics-gromacs/)

For post-analysis, many users find VMD useful (e.g., https://www.rcac.purdue.edu/resources/software/vmd/)

Since the work on personal laptops is not directly supported by RCAC, they might encounter limited assistance in this regard."
253250,Request to installation of applications in RCAC windows scratch,"User with account hou111 requires assistance in installing REFPROP_10, Python 3.7.9, and pyzo on the Windows scratch of the Bell cluster at Purdue University.","To install the required software, follow these steps:
   - Copy the installation files to the Windows Desktop directory within your Windows VM on the Bell cluster. - Right-click on the executable file and select ""Run as administrator"" to initiate the installation process for each software (REFPROP_10, Python 3.7.9, and pyzo). For additional information about using Windows VMs on the Bell cluster, please visit: https://www.rcac.purdue.edu/index.php/knowledge/bell/run/examples/apps/windows"
728084,gilbreth connection fail,Connection to Gilbreth cluster has been lost due to removal of inactive users from the clusters.,"The issue was caused by a system error that resulted in the removal of some active users from Gautschi and Gilbreth clusters. To restore access, contact your Principal Investigator (PI) for re-approval to the cluster. Submit a request to your PI to be re-added to the cluster using normal access means. If this doesn't work, please open another support ticket. Apologies for any inconveniences and keep updated on any ongoing changes related to this issue."
258019,Purdue Innovation - App Integration,"User, a computational biologist at Purdue University, seeks collaboration with RCAC to test app capabilities using Negishi access for potential integration into the university's research platform.",User is instructed to contact name (Industry Business Development Director) for possible collaborations regarding the testing and potential integration of their app using Negishi access at Purdue University.
258327,Requesting access to a node,User is seeking access to a specific HPC node (Bell) and does not have the necessary approval from the group manager.,"The user should obtain written approval from the group manager for the access request. Once obtained, they can provide it to the support team for processing. If they need immediate access urgently, they are encouraged to reach out to the group manager again."
736241,Lost Purdue account,User Peter has lost access to his Purdue account due to a change in appointment status but needs to ensure that his scratch folder and Negishi node resources remain intact until he can regain access.,"The RCAC team confirmed that Peter's scratch space is safe as it isn't purged until 60 days of inactivity. Additionally, the shell on the Negishi cluster still functions for Peter's account. If there's an extended wait for paperwork processing, the team will need to intervene to secure the resources. Peter can provide non-Purdue emails (, ) for communication during this time."
743716,Need help with old BoilerKey for accessing RCAC computing cluster,"User is unable to authenticate with Duo Mobile on the Nigishi cluster using password,push method, even though the setup is correct for other Purdue services.","To specify the Duo push notification to a different device, use a number after the push command in the format `password,push[number]`. For example, if you want to send the notification to your iPad (push2) or active phone (push3), use the respective number with the password,push command. If the user has multiple devices and wants to remove any of them, they can let the support team know and the devices will be removed accordingly."
260400,[URGENT]: Cannot log in to my account,User is unable to log in to their RCAC account due to maintenance on Bell.,The user should check for updates regarding the maintenance at [https://www.rcac.purdue.edu/news/6446] as login on Bell has been disabled during this time.
260436,Login Issue-Urgent,User unable to log into ThinLinc using Purdue career account credentials due to access denied error.,"The issue is not related to ThinLinc as it appears that Bell, the service used for login, is currently under maintenance and login is disabled. Please check the updates at this link for more information: https://www.rcac.purdue.edu/news/6446"
281401,Access to Gilbreth,Postdoc user from Math department cannot access Gilbreth or Negishi clusters due to missing home directory and lack of departmental resources.,"To gain access to the Gilbreth and Negishi clusters, the user must contact their group manager for departmental resources. The group manager will need to add the user to the respective queues on these clusters. The user should not follow any further instructions from the initial login webpage until they have been added to the clusters by their group manager."
232926,conda no workee,The user is unable to execute Conda commands at their RCAC Bell prompt because they have forgotten to load the Anaconda module.,"To resolve this issue, the user should load the Anaconda module using the command `module load anaconda`. After running this command, they should be able to use Conda again."
240141,Fw: Recent Gaussian jobs missing update,Job ID 37820326 recovery on bell server for user named 'name' using Gaussian software. The job was missing from the data depot and the user has provided the correct job id.,The user can also sign up for the Coffee Hour Consultations if preferred.
253795,OS requirement for DGL package,User requires DGL package for research which needs minimum CentOS 8. The user's machine (Gilbreth) is currently running CentOS 7.9. The user inquired about the expected timeframe for the OS upgrade on Gilbreth.,"- Option 1: Wait for the planned upgrade of Gilbreth to CentOS 8. No estimated time frame is available at this moment. - Option 2: Use a Singularity/Apptainer container with a more updated OS. The user can follow the steps in this training: <https://www.rcac.purdue.edu/training/containers101>. For example, running `singularity pull dgl-24.05.sif docker://nvcr.io/nvidia/dgl:24.05-py3` will build the container for you."
214766,Trial are aborting,"User is experiencing an issue with hyperparameter tuning in Gilbreth using name Tune, where the process is frequently aborted and results in a ""resource temporarily unavailable"" error.","The user should modify their job script to specify memory, subcluster, etc., as the issue may be due to a lack of specificity in the current configuration. The team suggests that the threads/processes/file descriptors in name Tune might be leaking, causing the resource unavailability error. Additionally, since name is sensitive to memory and other resources, specifying these details more precisely may help resolve the issue."
221093,Cannot Access Queue on Gilbreth,"User Y was added to HPC group ""ychu-n"" but unable to access queue on Gilbreth","To resolve the issue, the user should wait up to four hours for LDAP synchronization with their new allocation. The following command confirms that the user has been added to the appropriate groups:

```bash
groups obasit
```

The expected output would show `ychu-n`. To check available queues and resources, run the following command:

```bash
slist obasit
```

After waiting for the specified time, the user should be able to access and submit jobs on their PI's allocation."
232317,Still attempting to Access RCAC depot,"Student research assistant at Purdue West Lafayette cannot connect to the RCAC file depot at < \\datadepot.rcac.purdue.edu\depot\ phig> using Windows Network Drive/SMB (Server Message Block) and receives an error when inputting their Career Accounts password. The student is part of the 'phig' Unix group but not the 'phig-data' Unix group, which is causing the issue.","- Ensure that the complete path ""\\datadepot.rcac.purdue.edu\depot\mylab"" is used in the folder location. - The student should not use 'push' at the end of their password. - The PI needs to add the student to the 'phig-data' Unix group for read/write access to the depot space. This can be done using this link: [RCAC Group Management](https://www.rcac.purdue.edu/account/groups/109/members?u=118172)
   - The student should connect to the Purdue VPN or be on the Purdue network before attempting to connect to the file depot. - In 'This PC' file explorer, map the network drive by clicking on 'Map network drive', entering '\\datadepot.rcac.purdue.edu\depot\phig' as the address and using their username 'rmedema' and their password without 'push'."
253679,Dear RCAC Help,"User is experiencing an error with the 'torch' package when using Spyder and Krannert Desktop, and wants to know how to utilize a GPU in Bell Cluster","Remove the existing ~/.local folder (mv ~/.local ~/.local_backup) and create a new conda environment. Install torch and spyder within this new environment using the provided user guide (<https://www.rcac.purdue.edu/knowledge/bell/run/examples/apps/python/packages>). Activate the new conda env and open Spyder. To utilize a GPU in Bell Cluster, follow the AMDGPU compile guide (<https://www.rcac.purdue.edu/knowledge/bell/compile/amdgpu>)."
263793,Mapping RCAC path,The user is unable to remap their network drives after updating to Windows 11 and needs assistance in accessing a specific folder (\\datadepot.rcac.purdue.edu\depot\holmes9) within the Data Depot directory.,"To resolve this issue, follow these steps:
   - Press the Windows key and type ""Computer""
   - Select ""This PC"" from the search results
   - Click on ""Computer"" in the top bar
   - Click on ""Map Network Drive""
   - In the Folder location field, enter `\\datadepot.rcac.purdue.edu\depot\<your_research_group_name>` (replace `<your_research_group_name>` with your actual research group name) and click ""Finish""
   - Enter your career account login name and password when prompted

Your Data Depot directory should now be mounted as a drive in the Computer window. For more information about accessing and transferring files using CIFS, you may find this article helpful: [RCAC Knowledge Base - Access and Transfer Data Depot Files via CIFS](https://www.rcac.purdue.edu/knowledge/depot/storage/transfer/cifs)"
733600,Disk Quote Exceeded Error,PhD student in EAPS Department is unable to launch Jupyter Notebook on Negishi cluster due to disk quota exceeded error.,"To resolve this issue, connect to the Negishi home directory via a network drive and remove some files until the storage usage is under 25GB. Alternatively, if there are specific files that can be removed, request assistance for their removal so you can login and check what else can be removed. Once the quota is under the cap, the user should be able to launch their Jupyter session."
733850,Can't download file on Gautschi cluster?,"Command `wget https://apigwx-aws.qualcomm.com/qsc/public/v1/api/download/software/dataset/AIDataset/Jester/20bnjester-v1-00` doesn't work on the Gautschi cluster (login or other nodes), and it hangs until the connection times out.","The issue seems to be specific to the website `apigwx-aws.qualcomm.com`. Outbound connections from the clusters have been experiencing issues with some websites hosted by AWS/Cloudfront, and this appears to be one of them. After a network maintenance last night, a fix was put in place for the clusters to address the routing issues to some external sites. It's recommended to test the site `apigwx-aws.qualcomm.com` to confirm if it works now."
745703,Subject: Request for Access to Gilbreth,User (huan1720) is unable to access Gilbreth cluster due to potential removal of credentials from inactivity last year.,"To resolve this issue, the user should contact their supervisor in the ""name"" group and request to be added back to the Gilbreth queue. This will allow them to continue working on the cluster."
789656,Access to low-level gpu performance counter,User is unable to use 'ncu' tool for low-level GPU usage profiling on Gilbreth HPC due to permission errors and security concerns.,"Unfortunately, the permissions needed to run 'ncu' on Gilbreth are not available due to security concerns. The user is advised to use alternative profilers as listed in this link: https://www.rcac.purdue.edu/knowledge/profilers. At this time, there are no known workarounds for achieving the desired level of GPU performance counters on Gilbreth."
262808,Job error,Job script is intermittently failing after job submission in Bell due to issues with the new version of SLURM not updated on all computing nodes.,"The error is occurring because the new version of SLURM has not been updated on all Bell computing nodes. Users will see this error when their jobs are landed on one of the following affected nodes: bell-a[100,104,206,222,237,240,244,250-251,260,262,268,278,281,289,292,312,401,404-405,412,417,420,438,468-469], bell-b003. The engineers have marked these nodes down and will fix them once all jobs are cleared from these nodes. It is recommended to avoid submitting jobs to the affected nodes until this issue is resolved."
264723,Re: [BELL] Bell Cluster Maintenance,Request for removal from the Bell cluster mailing list,"To be removed from the Bell cluster mailing list, one must first be removed from the cluster itself. The user is advised to contact a physics queue group admin to initiate the process of removal from the cluster."
265774,Dear RCAC help desk,"User is unable to run a GPU job due to a command not found error when importing a library in their Python script, and suspects an issue with the conda environment for GPU.","To resolve this issue, use the following command to call your Python file while activating the correct Conda environment:

```bash
source activate $HOME/MyEnvAIP && python aip_fn_DBSCAN3_gpu.py
```

To confirm that you are in the correct Conda environment, use this command:

```bash
echo $CONDA_PREFIX
```

This will show you if your process has entered the virtual environment or not."
266253,Request to installation of applications in RCAC windows scratch,Unable to install software due to permission issues in the Windows VM and slow code execution on the cluster compared to local PC.,"To resolve the software installation issue, firstly ensure that you have all the necessary permissions as an administrator in the Windows VM. Install the software by copying the installation files to the Windows Desktop directory, right-click on the executable file, and select ""Run as administrator."" For slow code execution on the cluster compared to local PC, request more resources when starting your session and adjust the settings of the application. Use the following command outside of your Windows Virtual Machine to launch a virtual machine with 32GB of RAM, 20 cores, and a network mapping to your home directory:
   ```
   $ windows -i /path/to/your/windows/image.qcow2 -m 32G -c 20 -s $HOME
   ```
   Additionally, consider trying the Linux version of the software since it may perform better with multi-processors. You can find the installation guide here: https://www.nist.gov/srd/refprop"
276735,RCAC Account Request,Application for RCAC account is pending due to the required approval from supervisor Prof. name which hasn't been received yet.,"Instruct user to log in to the RCAC portal at https://www.rcac.purdue.edu/account/groups/3054/members?u=151376 and request their supervisor, Prof. name, to approve their application."
277595,FW: Disk quota exceeded on Gilbreth,User exceeded disk quota in HOME directory on Gilbreth due to downloading large models and video datasets.,"Recommend user to utilize scratch or depot space instead of HOME directory. The scratch folder is temporary storage, not designed for long-term storage, and files older than 60 days will be purged. For more details, consult the Rosen Center for Advanced Computing's (RCAC) Gilbreth Storage Options user guide: https://www.rcac.purdue.edu/knowledge/gilbreth/storage/options. To check current quota usage, use the command ""myquota"" followed by your username. For example:

```bash
nshan@gilbreth-fe01:~ $ myquota nshan
=============================================================================
home             nshan       24.5GB      25.0GB     98%     -  -  -
scratch          gilbreth    4KB        200.0TB    0.00%   0k  2,000k  0.00%
depot            cgb         13.3GB     100.0GB    14%     -  -  -
```"
278055,Access to GitHub,User requires access to GitHub using their Purdue credentials,"To gain access to GitHub, use your provided Purdue credentials. It is recommended to utilize your personal GitHub account as opposed to github.itap.purdue.edu, which is set for retirement."
278051,Request for Access to GPU Resources,Request for access to T4 or L4 GPU or equivalent for machine learning research on satellite imagery.,"To obtain access to GPUs at RCAC, the user should ask their professor (Prof name) to purchase the access at [https://www.rcac.purdue.edu/purchase](https://www.rcac.purdue.edu/purchase). Currently, the available GPUs at Gilbreth cluster include Nvidia A10, A30, and A100 GPUs ([https://www.rcac.purdue.edu/compute/gilbreth](https://www.rcac.purdue.edu/compute/gilbreth)). In the near future, Nvidia H100 GPUs will be available as well."
278765,CPU-only Job Submission,User needs to submit CPU-only job on Gilbreth cluster but is being asked for GPU number by Jupyter Notebook and MATLAB Gateway.,"Unfortunately, it is not possible to submit jobs without a GPU on the Gilbreth cluster as all defined QoS settings require a minimum of one GPU per job. There does not seem to be a CPU-only QoS available on Gilbreth at this time."
280444,Jobs went missing,Two Desktop jobs on Anvil HPC system were terminated and can no longer be found. The jobs required more time to run than allowed by the system.,"It appears that the jobs timed out and were terminated due to exceeding their allotted time limit for execution. To resolve this issue, it is recommended to resubmit the jobs with appropriate resource requests (walltime, number of cores or GPUs) based on the estimated job duration."
383195,Update cgroup limits on /tmp for Bell nodes,"Proposal for system cgroup limit on ""/tmp"" folder in Bell HPC cluster to prevent nodes from being brought down due to user workflows, specifically R jobs from user ""siddiq60"".","To implement a system cgroup limit that reserves 20% of ""/tmp"" for all Bell nodes and users only get a maximum of 80%. This can be achieved by using the Slurm module job_container/tmpfs, which creates a bind mount from /tmp to /localscratch/slurmjob/$jobid/_tmp inside of the job's cgroup. The nodes are provisioned such that the real /tmp is 10GB, and /localscratch is ~700GB. This setup allows the system to survive /tmp filling and enables Slurm to clean up after the job is complete. It is important to note that this approach has not been tested on Bell yet, and there might be potential impacts on existing workloads that heavily utilize /tmp. For further discussion or clarification, users are encouraged to communicate over Slack."
283121,"[bridges2-users] HPC Monthly Workshop: Machine Learning and BIG	DATA July 31-Aug 1, 2024","The webpage link provided for registration to the HPC Monthly Workshop: Machine Learning and BIG DATA event at Purdue University is not working correctly, reporting a Page Not Found error.","The issue has been addressed by the RCAC team. They have confirmed that Purdue University is indeed part of the workshop and an announcement will be posted on the website (https://www.rcac.purdue.edu/news/6741) for registration. If the user encounters any further issues or if the link does not work, they are advised to contact RCAC Support again."
283906,H100s GPUaaS for Boilers in RCAC,"Proposal for a low-cost GPU as a Service (GPUaaS) cloud option for HPC needs, particularly for ML training and inference tasks using Nvidia H100 GPUs.","To consider the offer, gather information on the proposed solution from the provider, including details about pricing, consulting calls, and potential visits. The provider claims to be the country's 3rd largest GPUaaS cloud service with over 24,000 H100 GPUs in production across 5 geo-diverse Tier 3 data centers. They offer a low-cost dedicated private GPUaaS cloud for sensitive data and an elastic, self-service public GPUaaS cloud that is gaining popularity. The provider also offers free name support and solutions engineering services directly via messaging, without the use of ticketing systems. There are no ingress or egress fees, and the parent sponsor is non-for-profit."
285088,Completing job,A user (name) has a job (38377478) that is stuck in the Completing state and unable to be terminated on the HPC system. The user is concerned about its impact on queuing.,"To resolve this issue, the system administrator will reboot machine bell-a192 in order to cancel job 38377478. This process may take some time, and the user will be updated when the job has been terminated."
638341,Slurm Account Issue on CMS RCAC Cluster,User yadav124 cannot submit jobs on the CMS cluster (cms.rcac.purdue.edu) due to an account issue and is unable to open certain files when running jobs.,"a. To resolve the first issue, Nick enabled yadav124's account in the appropriate queues. Ensure that you can submit SLURM jobs on the cluster by running the following command:

      ```
      srun --partition=<Slurm_account> --ntasks=1 --cpus-per-task=1 --mem=4G --pty bash
      ```
   Replace `<Slurm_account>` with the appropriate account for CMS jobs, such as `name-nodes`. b. To address the second issue, it appears that there might be a problem with accessing certain files. It is recommended to double-check file permissions and ensure they are set correctly. Also, verify that the file paths are correct, and the file you're trying to open is accessible on the cluster. If the issue persists, consider seeking help from your project collaborators or contacting the support team again for further assistance."
679947,Access request notifications,Email notifications for access requests to RCAC resources are not being sent.,"The issue appears to be related to the email system enforcing SPF/DKIM, which has recently started requiring SPF success. It seems that the notification emails are being discarded before reaching the recipient's mailflow. The team responsible for managing RCAC backend resources is working on a solution, but there is currently no estimated time for a fix. In the meantime, users can monitor pending requests through the web interface (www.rcac.purdue.edu)."
736908,Unable to launch sbatch jobs on the highmem partition,"Error in submitting batch jobs on highmem partition on Gautschi using sbatch command, while salloc works correctly.","To resolve the issue of not being able to submit batch jobs using the sbatch command on the highmem partition on Gautschi, try modifying your job submission script as follows:

   Replace `sbatch` with `sbsubmit`, which is the submission tool for the highmem partition. Here's an example of how you can modify your command:

   ```
   sbsubmit -p highmem -q normal -t 4:00:00 -c 96 -A cocosys -q normal ~/rcac-utils/jobsubmissionscript.sub -e unify-opflow
   ```

   Please note that this command is for submitting jobs and does not activate the conda environment specified by `-e`. To handle this, you can modify your jobsubmissionscript.sub file to include the activation of your conda environment at the beginning of the script. For more information on using sbsubmit, please consult the [Gautschi Resource Management System (GRMS) User Guide](https://docs.rcac.purdue.edu/grms/latest/) and contact RCAC Support if you have any further questions."
767451,Question on Compliance Assurance for Github,"The user is seeking clarification on whether a security review of GitHub as a third-party tool for use in courses has been conducted, and if so, what can and cannot be hosted in GitHub repositories, particularly for private student groups and future iterations involving protected data.",The team will look into the security review status of GitHub and get back to the user as soon as possible. A Teams meeting has been scheduled with the user and relevant colleagues to discuss this issue in more detail. The user is encouraged to provide any necessary information ahead of time or during the conversation. The user should note that they are building the course with three faculty members (one instructor of record) and a learning designer.
286740,Error in the Interactive Gilbreth Cluster,User encountered an error while updating packages on the Gilbreth cluster and is unable to create new sessions due to insufficient space in their HOME directory.,"The user's HOME directory has exceeded its storage limit, preventing them from creating any more Open OnDemand sessions on the Gilbreth cluster. To resolve this issue, the user should clear some space in their HOME directory. Here are the steps to check and clean up their directories:

   a) Check current disk usage with the command:
      ```
      nshan@gilbreth-fe01:~ $ myquota mmirfara
      ```

   b) The output shows that the user's home directory (mmirfara) has reached its 25GB limit. Clean up any unnecessary files, archiving them or moving them to a different location as needed. To free up space effectively, consider focusing on large files and directories that are not frequently used. c) After cleaning up, re-run the 'myquota' command to ensure there is enough space available. If the issue persists, it may be necessary to contact the Research Computing team for additional assistance."
719639,Gilbreth login failure,User is unable to log into Gilbreth due to an operating system update and potential changes in jobscripts. The user uses Gilbreth for training ML models.,"The user should check their jobscripts under the new application stack on Rocky 9 as the operating system of Gilbreth has been updated. Any software that was built against the previous system libraries may need to be re-built. If the user is using Gilbreth for training ML models and has an ongoing job, they should monitor its progress."
720751,Job does not run,"Job submissions in the Bell cluster are taking longer to process and not completing as expected. Specifically, a job submitted at 3.47 PM was completed at 8.21 PM, indicating that the cluster is waiting for something before processing.","It seems that reducing the number of CPUs/1node on the Bell cluster might help improve performance with the input file in question. The user also suggests checking resource availability using the command to verify if any other resources are being used by other users that could be causing the delay. For example, if the user uses `squeue -u name` or `scontrol show job <job_id>`, they can check the current status and resource usage of their jobs on the cluster. The user should also ensure that they are checking for all possible resources being used by other users to resolve potential resource contention issues. If the problem persists, the user may need to resubmit their job with different resource requirements or consult further with RCAC support."
732032,GPU,User is unable to run simulation software on Gilbreth due to the software not detecting the GPU.,"Update the graphics driver on the user's account (username jadegboy) to resolve the issue with the software failing to detect the GPU. To update the driver, follow these steps:
   - Log in to Gilbreth using the username jadegboy
   - Open a terminal session
   - Run the following command to update the NVIDIA graphics driver (replace X.X.X with the version number of the latest driver):
     ```
     sudo apt-get install nvidia-driver-X.X.X
     ```
   - Once the installation is complete, reboot the system and attempt running the simulation software again to confirm that the issue has been resolved. Additional Information: The user may have encountered a similar issue when first starting to use Gilbreth. For more information on using Gilbreth with GPUs, consult the official documentation at: [Gilbreth GPU Documentation](https://www.gilbrithpc.com/documentation/gpu/)"
734266,Unable to access Gilbreth cluster,User is unable to log in to the Gilbreth cluster due to account not being assigned to any queues.,"Re-add the user to the Gilbreth accounts associated with their group (Lilly Computational Group and name group), which have Gilbreth allocations. This process can take around 1-2 hours for provisioning, after which the user should be able to log in to Gilbreth."
284773,Need access to training queue on Gilbreth,"User is unable to submit jobs to the jgmakin-n queue due to an error stating that CPU count per node cannot be satisfied, despite only requesting one CPU and one GPU. The user has also been experiencing this issue on the jgmakin-h queue.","To resolve this issue, the user should ensure they are requesting a proportionate amount of memory for the requested GPUs instead of using `--mem=0`. Here's an example of how to set the memory in Slurm submission script:

```bash
#SBATCH --gres=gpu:1
#SBATCH --cpus-per-task=1
#SBATCH --mem=<memory_in_GB>GB
```

In addition, the user should confirm that they have been added to the jgmakin-n queue by their PI through the member management portal at https://www.rcac.purdue.edu/account/groups/1989/members."
271265,Re: RCAC Solution for Real Estate Data,Request for additional 1 TB storage allocation in Data Depot on Bell Cluster.,"To request an additional 1TB of storage, submit an order via the RCAC website at [this link](https://www.rcac.purdue.edu/orders/products#32_product). Once the order is placed, the team will review and process it."
279813,Question about Gilbreth RC Cluster,"User is unable to use jgmakin-h queue for training machine learning models due to CPU count error and insufficient wall time in standby queue. The user provided a script named `training_submit.sh` for running jobs, but there was an unsupported option `--mem=0`.",- Ask the PI to add the user into the new resource queue (jgmakin-n). - Remove the unsupported option `--mem=0` from the job submission script named `training_submit.sh`. - Consult this page for more information on using Machine Learning Gilbreth: https://www.rcac.purdue.edu/index.php/knowledge/gilbreth/run/examples/apps/learning?all=true
312639,"Request to get access for ""training"" queue on Gilbreth","PhD student requesting access to the ""training"" queue on Gilbreth for a process requiring more than 4 hours of running time.","To gain access to the training queue on Gilbreth, review the requirements here: https://www.rcac.purdue.edu/knowledge/gilbreth/run/slurm/queues. In the meantime, submit your job with multiple GPUs in the standby queue and wait for it to time out, then provide the job ID to RCAC Support. It is recommended that you also consider running your job on a K node from your group if available."
288340,Job constantly pending,Jobs stuck in pending state when submitted for GPU execution on Gilbreth cluster's cgb2-n queue,"To troubleshoot the issue of jobs being stuck in the pending state when submitting to run on GPUs with the cgb2-n queue on the Gilbreth cluster, check the job submission scripts and ensure they have been properly configured for GPU execution. Verify that the appropriate module(s) required for GPU usage are loaded before job submission. Also, double-check if there's any specific resource request (e.g., memory, CPU cores) that could be conflicting with the available resources in the queue."
290134,Extrememly long queueing time for dedicated group queues in Gilbreth,Job submission with exclusive node request in amannodi-f account is not being scheduled due to QOSGrpCpuLimit state.,"Remove the `--exclusive` directive from your script to allow the job scheduler to allocate a node without requiring the entire node. If the `--exclusive` directive is necessary for your job, consider submitting to the standby queue with less walltime (less than 4 hours). Specify GPU type using `#SBATCH -C 'F' (e.g. for gilbreth-f) if you need specific GPUs. Adjust your script as per these suggestions and resubmit your job."
313260,Cannot find account list from slist. And sinteractive is not working in Bell server cluster,"The user Taehong cannot log in to the Bell server and use 'slist' or 'sinteractive', and the active queue on Bell has reached its lease end.","The user needs to switch to using the Negishi server for their COMSOL simulations. To do this, they should first check if they have been added to the COMSOL group on Negishi by contacting their professor or research group. Once added, they will have access no later than tomorrow. In the meantime, they can continue using COMSOL with a license, but on the Negishi server. The user may need to update their environment variables and module load settings accordingly. To check if the Negishi server is active, the user can use the 'sfeatures' command. They should also consult the documentation for details on using Negishi with COMSOL. Here's an example command to submit a job on Negishi:

```bash
salloc -p name -C comsol --account=<your_account> -t <runtime_hours>:00:00 -N <number_of_nodes> --wrap ""<comsol_command>""
```"
283817,Data Depot Access Issues,User is unable to connect to civs account after changing password on Hammond Campus Windows machine in Powers Building.,"It appears there was an issue with Negishi that was resolved. However, since the user is still experiencing issues, it is recommended to ensure that the new password has been correctly updated for the ""civs"" account. To check this, attempt to connect using the `ssh` command with the following format:

```
ssh civs-username@negishi.purdue.edu
```

Replace `civs-username` with your actual CIVS username. If you still encounter the error ""The specified password is not correct,"" please contact RCAC Support to verify the password update and investigate further."
293143,How to clean memory in Gilbreth after removing anaconda virtual enviroment?,A Ph.D. student at Purdue University is experiencing issues with memory usage in Gilbreth and wants to recover ~25GB of memory by deleting a conda environment and related cache files.,"To find and remove the conda environments, run `conda env list`. To delete the environment named 'myenv', use the command `conda remove --name myenv -all`. The student can check storage usage by running `ls -sh . ?? * * | sort -rh | head` in their home directory. To empty the cache taking up a lot of space, move it to the scratch directory using `mv .cache $RCAC_SCRATCH`. If necessary, the student can move the cache back from the scratch directory. To delete files on UNIX systems, use the `rm` command. To delete a folder and its contents, run `rm -r folder_name`. To forcefully delete a folder and its contents, use `rm -rf folder_name`. The student should be able to empty their cache by running `rm -rf .cache`."
293371,Please create a /depot/gcore/dev directory for me.,User needs a new directory created in the gcore service account (/depot/gcore/dev) with read-write permissions for gcore. This issue is related to data migration from CentOS on a web server.,"To create the requested directory, the user can follow these steps. - Log in to the RCAC page. - Navigate to the My Groups section. - Select the Genomics Core group. - Under the Storage tab, click on the ""Add new directory"" button to add a new directory (/depot/gcore/dev). - The created directory will propagate to the clusters over time. It's important to note that, in the future, as a group manager, you can create directories using this method."
294428,Inquiry about running background process,"User is unable to connect to Negishi due to disk quota exceeded issue, preventing file operations and Jupyter Notebook job execution.","To resolve the disk quota exceeded issue, follow these steps:
   - Log in to Negishi interactively using `ssh username@neghisi-login.your-domain.com`. - Check current disk usage with the command: `df -h /path/to/user/home` (replace ""/path/to/user/home"" with the path of your home directory). - If the output shows that you have exceeded the disk quota, you need to free up some space. Remove unnecessary files or move them to another storage location. - You can also try deleting temporary files by using the command: `find /path/to/user/home -name '*~' -type f -mtime +7 -exec rm {} \;`. Be careful when running this command, as it will delete all the files ending with ""~"" that are older than 7 days in the specified directory. - Once you have freed up some space, you should be able to connect to Negishi and run your files without any issues."
295455,New students added to gilbreth queues could not login,Users ahmed202 and wang4015 cannot log into Gilbreth cluster,"The users' accounts on the Glbreth cluster will be created during an overnight batch run. They should be able to log into Gilbreth tomorrow. It is recommended to use the guptask-k queue, as guptask-h and guptask-i queues do not have active resources at this time."
736104,"Job always assigned and failed, got stuck in the queue","Job 8484742 stuck in ""PENDING (launch failed requeued held)"" state using Slurm scripts on Gilbreth cluster.","The issue seems to be related to the node issues that occurred over the weekend on the Gilbreth cluster, affecting job allocation and causing jobs to remain in a pending status. Since those nodes have been fixed, you should resubmit your job (8484742) to see if it now completes successfully."
742230,Unable to Connect to Gilbreth,User is unable to connect to Gilbreth via SSH due to an account issue.,"The user's RCAC account does not have any Gilbreth queues assigned to it, possibly because of a cleanup of inactive Gilbreth users. The user can request access again via the link: [https://www.rcac.purdue.edu/account/request](https://www.rcac.purdue.edu/account/request). Alternatively, their PI can re-add them to the Gilbreth queues. After taking one of these actions, the account should be functional on Gilbreth."
742895,Gilbreth job is queueing indefinitely,Job 8494416 is queuing since 1 day on the ribeirob-k queue due to a duplicated job.,"The user has two jobs with the same name running (8494415 and 8494416). The running job is 8494415, which is using only 1 GPU. Once job 8494415 finishes, job 8494416 will begin executing. To check the status of jobs, users can use the command `squeue -A ribeirob-k`. For more information on managing jobs, refer to the [PurdueIT RCAC documentation](https://rcac.purdue.edu/documentation/batch)."
296409,Query regarding access to RCAC resources,A visiting scholar requires continued access to the RCAC cluster after their program at Purdue University ends.,"The access to the RCAC cluster is linked with the scholar's Purdue credentials. If the scholar loses their Purdue credential, they will also lose access to the RCAC cluster. After the program ends, the scholar's Purdue account might not be active anymore. However, if the scholar wants to continue working with Prof. Hilkka and have access to Bell, they can ask Prof. Hilkka to file a R4P form on their behalf. Once the R4P form is approved, it will keep the scholar's Purdue credential active. For more details about how to apply for R4P for collaborators outside Purdue, please refer to this link: https://www.rcac.purdue.edu/knowledge/bell/faq/login/questions/expiredaccount"
